shift_Id,doct_Id,nurse_Id,helper_Id,shift_Date,shift_Start,shift_End
70039,1128,3039,8039,27-05-2025,08:00:00,16:00:00
70040,1127,3040,8040,28-05-2025,14:00:00,22:00:00
70041,1137,3041,8041,29-05-2025,08:00:00,16:00:00
70042,1138,3042,8042,30-05-2025,14:00:00,22:00:00
70043,1142,3043,8043,31-05-2025,08:00:00,16:00:00
70044,1182,3044,8044,01-06-2025,06:00:00,14:00:00
70045,1166,3045,8045,02-06-2025,14:00:00,22:00:00
70046,1154,3046,8046,19-05-2025,22:00:00,06:00:00
70047,1162,3047,8047,20-05-2025,06:00:00,14:00:00
70048,1185,3048,8048,21-05-2025,08:00:00,16:00:00
70049,1189,3049,8049,22-05-2025,14:00:00,22:00:00
70050,1187,3050,8050,23-05-2025,08:00:00,16:00:00
70051,1190,3051,8051,24-05-2025,08:00:00,16:00:00
70052,1195,3052,8052,25-05-2025,14:00:00,22:00:00
70053,1194,3053,8053,26-05-2025,08:00:00,16:00:00
70054,1200,3054,8054,27-05-2025,08:00:00,16:00:00
70055,1201,3055,8055,28-05-2025,14:00:00,22:00:00
70056,1226,3056,8056,29-05-2025,08:00:00,16:00:00
70057,1204,3057,8057,30-05-2025,14:00:00,22:00:00
70058,1220,3058,8058,31-05-2025,08:00:00,16:00:00
70059,1253,3059,8059,01-06-2025,08:00:00,16:00:00
70060,1251,3060,8060,02-06-2025,14:00:00,22:00:00
70061,1249,3061,8061,19-05-2025,08:00:00,16:00:00
70062,1258,3062,8062,20-05-2025,08:00:00,16:00:00
70063,1254,3063,8063,21-05-2025,14:00:00,22:00:00
70064,1259,3064,8064,22-05-2025,08:00:00,16:00:00
70065,1269,3065,8065,23-05-2025,08:00:00,16:00:00
70066,1264,3066,8066,24-05-2025,14:00:00,22:00:00
70067,1266,3067,8067,25-05-2025,08:00:00,16:00:00
70068,1274,3068,8068,26-05-2025,08:00:00,16:00:00
70069,1273,3069,8069,27-05-2025,14:00:00,22:00:00
70070,1279,3070,8070,28-05-2025,08:00:00,16:00:00
70071,1284,3071,8071,29-05-2025,08:00:00,16:00:00
70072,1296,3072,8072,30-05-2025,14:00:00,22:00:00
70073,1283,3073,8073,31-05-2025,08:00:00,16:00:00
70074,1304,3074,8074,01-06-2025,08:00:00,16:00:00
70075,1303,3075,8075,02-06-2025,14:00:00,22:00:00
70076,1329,3076,8076,19-05-2025,08:00:00,16:00:00
70077,1318,3077,8077,20-05-2025,14:00:00,22:00:00
70078,1319,3078,8078,21-05-2025,08:00:00,16:00:00
70079,1363,3079,8079,22-05-2025,08:00:00,16:00:00
70080,1381,3080,8080,23-05-2025,14:00:00,22:00:00
70081,1378,3081,8081,24-05-2025,08:00:00,16:00:00
70082,1393,3082,8082,25-05-2025,08:00:00,16:00:00
70083,1397,3083,8083,26-05-2025,14:00:00,22:00:00
70084,1395,3084,8084,27-05-2025,08:00:00,16:00:00
70085,1005,3085,8085,28-05-2025,06:00:00,14:00:00
70086,1004,3086,8086,29-05-2025,14:00:00,22:00:00
70087,1002,3087,8087,30-05-2025,18:00:00,02:00:00
70088,1009,3088,8088,31-05-2025,08:00:00,16:00:00
70089,1017,3089,8089,01-06-2025,08:00:00,16:00:00
70090,1022,3090,8090,02-06-2025,08:00:00,16:00:00
70091,1020,3091,8091,19-05-2025,14:00:00,22:00:00
70092,1025,3092,8092,20-05-2025,08:00:00,16:00:00
70093,1062,3093,8093,21-05-2025,07:00:00,15:00:00
70094,1055,3094,8094,22-05-2025,15:00:00,23:00:00
70095,1065,3095,8095,23-05-2025,19:00:00,03:00:00
70096,1037,3096,8096,24-05-2025,23:00:00,07:00:00
70097,1052,3097,8097,25-05-2025,07:00:00,15:00:00
70098,1047,3098,8098,26-05-2025,15:00:00,23:00:00
70099,1035,3099,8099,27-05-2025,19:00:00,03:00:00
70100,1050,3100,8100,28-05-2025,23:00:00,07:00:00
70101,1085,3101,8101,29-05-2025,08:00:00,16:00:00
70102,1082,3102,8102,30-05-2025,14:00:00,22:00:00
70103,1092,3103,8103,31-05-2025,08:00:00,16:00:00
70104,1097,3104,8104,01-06-2025,08:00:00,16:00:00
70105,1095,3105,8105,02-06-2025,14:00:00,22:00:00
70106,1100,3106,8106,19-05-2025,08:00:00,16:00:00
70107,1110,3107,8107,20-05-2025,08:00:00,16:00:00
70108,1107,3108,8108,21-05-2025,14:00:00,22:00:00
70109,1115,3109,8109,22-05-2025,08:00:00,16:00:00
70110,1112,3110,8110,23-05-2025,14:00:00,22:00:00
70111,1122,3111,8111,24-05-2025,08:00:00,16:00:00
70112,1125,3112,8112,25-05-2025,14:00:00,22:00:00
70113,1127,3113,8113,26-05-2025,08:00:00,16:00:00
70114,1130,3114,8114,27-05-2025,14:00:00,22:00:00
70115,1145,3115,8115,28-05-2025,08:00:00,16:00:00
70116,1140,3116,8116,29-05-2025,14:00:00,22:00:00
70117,1137,3117,8117,30-05-2025,08:00:00,16:00:00
70118,1181,3118,8118,31-05-2025,06:00:00,14:00:00
70119,1157,3119,8119,01-06-2025,14:00:00,22:00:00
70120,1178,3120,8120,02-06-2025,22:00:00,06:00:00
70121,1173,3121,8121,19-05-2025,06:00:00,14:00:00
70122,1189,3122,8122,20-05-2025,08:00:00,16:00:00
70123,1192,3123,8123,21-05-2025,08:00:00,16:00:00
70124,1194,3124,8124,22-05-2025,14:00:00,22:00:00
70125,1200,3125,8125,23-05-2025,08:00:00,16:00:00
70126,1197,3126,8126,24-05-2025,14:00:00,22:00:00
70127,1244,3127,8127,25-05-2025,08:00:00,16:00:00
70128,1235,3128,8128,26-05-2025,14:00:00,22:00:00
70129,1229,3129,8129,27-05-2025,08:00:00,16:00:00
70130,1253,3130,8130,28-05-2025,08:00:00,16:00:00
70131,1258,3131,8131,29-05-2025,08:00:00,16:00:00
70132,1261,3132,8132,30-05-2025,14:00:00,22:00:00
70133,1256,3133,8133,31-05-2025,08:00:00,16:00:00
70134,1268,3134,8134,01-06-2025,08:00:00,16:00:00
70135,1273,3135,8135,02-06-2025,08:00:00,16:00:00
70136,1271,3136,8136,19-05-2025,14:00:00,22:00:00
70137,1276,3137,8137,20-05-2025,08:00:00,16:00:00
70138,1291,3138,8138,21-05-2025,08:00:00,16:00:00
70139,1283,3139,8139,22-05-2025,14:00:00,22:00:00
70140,1298,3140,8140,23-05-2025,08:00:00,16:00:00
70141,1301,3141,8141,24-05-2025,08:00:00,16:00:00
70142,1303,3142,8142,25-05-2025,14:00:00,22:00:00
70143,1306,3143,8143,26-05-2025,08:00:00,16:00:00
70144,1318,3144,8144,27-05-2025,14:00:00,22:00:00
70145,1336,3145,8145,28-05-2025,08:00:00,16:00:00
70146,1387,3146,8146,29-05-2025,08:00:00,16:00:00
70147,1372,3147,8147,30-05-2025,14:00:00,22:00:00
70148,1383,3148,8148,31-05-2025,08:00:00,16:00:00
70149,1400,3149,8149,01-06-2025,08:00:00,16:00:00
70150,1397,3150,8150,02-06-2025,14:00:00,22:00:00
70151,1005,3151,8151,19-05-2025,06:00:00,14:00:00
70152,1001,3152,8152,20-05-2025,14:00:00,22:00:00
70153,1003,3153,8153,21-05-2025,18:00:00,02:00:00
70154,1010,3154,8154,22-05-2025,08:00:00,16:00:00
70155,1011,3155,8155,23-05-2025,12:00:00,20:00:00
70156,1013,3156,8156,24-05-2025,08:00:00,16:00:00
70157,1018,3157,8157,25-05-2025,08:00:00,16:00:00
70158,1020,3158,8158,26-05-2025,08:00:00,16:00:00
70159,1023,3159,8159,27-05-2025,14:00:00,22:00:00
70160,1025,3160,8160,28-05-2025,08:00:00,16:00:00
70161,1040,3161,8161,29-05-2025,07:00:00,15:00:00
70162,1078,3162,8162,30-05-2025,15:00:00,23:00:00
70163,1063,3163,8163,31-05-2025,19:00:00,03:00:00
70164,1053,3164,8164,01-06-2025,23:00:00,07:00:00
70165,1050,3165,8165,02-06-2025,07:00:00,15:00:00
70166,1033,3166,8166,19-05-2025,15:00:00,23:00:00
70167,1043,3167,8167,20-05-2025,19:00:00,03:00:00
70168,1038,3168,8168,21-05-2025,23:00:00,07:00:00
70169,1083,3169,8169,22-05-2025,08:00:00,16:00:00
70170,1088,3170,8170,23-05-2025,14:00:00,22:00:00
70171,1080,3171,8171,24-05-2025,08:00:00,16:00:00
70172,1093,3172,8172,25-05-2025,08:00:00,16:00:00
70173,1095,3173,8173,26-05-2025,14:00:00,22:00:00
70174,1098,3174,8174,27-05-2025,08:00:00,16:00:00
70175,1100,3175,8175,28-05-2025,14:00:00,22:00:00
70176,1103,3176,8176,29-05-2025,08:00:00,16:00:00
70177,1110,3177,8177,30-05-2025,08:00:00,16:00:00
70178,1108,3178,8178,31-05-2025,14:00:00,22:00:00
70179,1115,3179,8179,01-06-2025,08:00:00,16:00:00
70180,1113,3180,8180,02-06-2025,14:00:00,22:00:00
70181,1118,3181,8181,19-05-2025,08:00:00,16:00:00
70182,1125,3182,8182,20-05-2025,08:00:00,16:00:00
70183,1123,3183,8183,21-05-2025,14:00:00,22:00:00
70184,1128,3184,8184,22-05-2025,08:00:00,16:00:00
70185,1130,3185,8185,23-05-2025,14:00:00,22:00:00
70186,1143,3186,8186,24-05-2025,08:00:00,16:00:00
70187,1140,3187,8187,25-05-2025,14:00:00,22:00:00
70188,1145,3188,8188,26-05-2025,08:00:00,16:00:00
70189,1168,3189,8189,27-05-2025,06:00:00,14:00:00
70190,1164,3190,8190,28-05-2025,14:00:00,22:00:00
70191,1160,3191,8191,29-05-2025,22:00:00,06:00:00
70192,1172,3192,8192,30-05-2025,06:00:00,14:00:00
70193,1185,3193,8193,31-05-2025,08:00:00,16:00:00
70194,1192,3194,8194,01-06-2025,08:00:00,16:00:00
70195,1195,3195,8195,02-06-2025,14:00:00,22:00:00
70196,1190,3196,8196,19-05-2025,08:00:00,16:00:00
70197,1201,3197,8197,20-05-2025,08:00:00,16:00:00
70198,1197,3198,8198,21-05-2025,14:00:00,22:00:00
70199,1234,3199,8199,22-05-2025,08:00:00,16:00:00
70200,1242,3200,8200,23-05-2025,14:00:00,22:00:00
70201,1246,3201,8201,24-05-2025,08:00:00,16:00:00
70202,1249,3202,8202,25-05-2025,08:00:00,16:00:00
70203,1261,3203,8203,26-05-2025,08:00:00,16:00:00
70204,1254,3204,8204,27-05-2025,14:00:00,22:00:00
70205,1256,3205,8205,28-05-2025,08:00:00,16:00:00
70206,1269,3206,8206,29-05-2025,08:00:00,16:00:00
70207,1264,3207,8207,30-05-2025,14:00:00,22:00:00
70208,1274,3208,8208,31-05-2025,08:00:00,16:00:00
70209,1271,3209,8209,01-06-2025,14:00:00,22:00:00
70210,1279,3210,8210,02-06-2025,08:00:00,16:00:00
70211,1276,3211,8211,19-05-2025,14:00:00,22:00:00
70212,1299,3212,8212,20-05-2025,08:00:00,16:00:00
70213,1294,3213,8213,21-05-2025,14:00:00,22:00:00
70214,1286,3214,8214,22-05-2025,08:00:00,16:00:00
70215,1304,3215,8215,23-05-2025,08:00:00,16:00:00
70216,1301,3216,8216,24-05-2025,14:00:00,22:00:00
70217,1334,3217,8217,25-05-2025,08:00:00,16:00:00
70218,1324,3218,8218,26-05-2025,14:00:00,22:00:00
70219,1316,3219,8219,27-05-2025,08:00:00,16:00:00
70220,1366,3220,8220,28-05-2025,08:00:00,16:00:00
70221,1381,3221,8221,29-05-2025,14:00:00,22:00:00
70222,1375,3222,8222,30-05-2025,08:00:00,16:00:00
70223,1398,3223,8223,31-05-2025,08:00:00,16:00:00
70224,1393,3224,8224,01-06-2025,14:00:00,22:00:00
70225,1400,3225,8225,02-06-2025,08:00:00,16:00:00
70226,1006,3226,8226,19-05-2025,06:00:00,14:00:00
70227,1007,3227,8227,20-05-2025,14:00:00,22:00:00
70228,1002,3228,8228,21-05-2025,18:00:00,02:00:00
70229,1004,3229,8229,22-05-2025,22:00:00,06:00:00
70230,1012,3230,8230,23-05-2025,08:00:00,16:00:00
70231,1008,3231,8231,24-05-2025,12:00:00,20:00:00
70232,1014,3232,8232,25-05-2025,08:00:00,16:00:00
70233,1015,3233,8233,26-05-2025,14:00:00,22:00:00
70234,1019,3234,8234,27-05-2025,08:00:00,16:00:00
70235,1016,3235,8235,28-05-2025,14:00:00,22:00:00
70236,1021,3236,8236,29-05-2025,08:00:00,16:00:00
70237,1026,3237,8237,30-05-2025,08:00:00,16:00:00
70238,1024,3238,8238,31-05-2025,14:00:00,22:00:00
70239,1069,3239,8239,01-06-2025,07:00:00,15:00:00
70240,1057,3240,8240,02-06-2025,15:00:00,23:00:00
70241,1044,3241,8241,19-05-2025,19:00:00,03:00:00
70242,1027,3242,8242,20-05-2025,23:00:00,07:00:00
70243,1054,3243,8243,21-05-2025,07:00:00,15:00:00
70244,1075,3244,8244,22-05-2025,15:00:00,23:00:00
70245,1034,3245,8245,23-05-2025,19:00:00,03:00:00
70246,1045,3246,8246,24-05-2025,23:00:00,07:00:00
70247,1079,3247,8247,25-05-2025,08:00:00,16:00:00
70248,1090,3248,8248,26-05-2025,14:00:00,22:00:00
70249,1081,3249,8249,27-05-2025,08:00:00,16:00:00
70250,1096,3250,8250,28-05-2025,08:00:00,16:00:00
70251,1094,3251,8251,29-05-2025,14:00:00,22:00:00
70252,1104,3252,8252,30-05-2025,08:00:00,16:00:00
70253,1101,3253,8253,31-05-2025,14:00:00,22:00:00
70254,1099,3254,8254,01-06-2025,08:00:00,16:00:00
70255,1109,3255,8255,02-06-2025,08:00:00,16:00:00
70256,1106,3256,8256,19-05-2025,14:00:00,22:00:00
70257,1116,3257,8257,20-05-2025,08:00:00,16:00:00
70258,1111,3258,8258,21-05-2025,14:00:00,22:00:00
70259,1114,3259,8259,22-05-2025,08:00:00,16:00:00
70260,1119,3260,8260,23-05-2025,08:00:00,16:00:00
70261,1117,3261,8261,24-05-2025,14:00:00,22:00:00
70262,1120,3262,8262,25-05-2025,08:00:00,16:00:00
70263,1124,3263,8263,26-05-2025,08:00:00,16:00:00
70264,1129,3264,8264,27-05-2025,08:00:00,16:00:00
70265,1126,3265,8265,28-05-2025,14:00:00,22:00:00
70266,1136,3266,8266,29-05-2025,08:00:00,16:00:00
70267,1131,3267,8267,30-05-2025,14:00:00,22:00:00
70268,1135,3268,8268,31-05-2025,08:00:00,16:00:00
70269,1158,3269,8269,01-06-2025,06:00:00,14:00:00
70270,1166,3270,8270,02-06-2025,14:00:00,22:00:00
70271,1162,3271,8271,19-05-2025,22:00:00,06:00:00
70272,1170,3272,8272,20-05-2025,06:00:00,14:00:00
70273,1186,3273,8273,21-05-2025,08:00:00,16:00:00
70274,1188,3274,8274,22-05-2025,14:00:00,22:00:00
70275,1187,3275,8275,23-05-2025,08:00:00,16:00:00
70276,1191,3276,8276,24-05-2025,08:00:00,16:00:00
70277,1193,3277,8277,25-05-2025,14:00:00,22:00:00
70278,1198,3278,8278,26-05-2025,08:00:00,16:00:00
70279,1196,3279,8279,27-05-2025,14:00:00,22:00:00
70280,1199,3280,8280,28-05-2025,08:00:00,16:00:00
70281,1213,3281,8281,29-05-2025,08:00:00,16:00:00
70282,1202,3282,8282,30-05-2025,14:00:00,22:00:00
70283,1238,3283,8283,31-05-2025,08:00:00,16:00:00
70284,1251,3284,8284,01-06-2025,08:00:00,16:00:00
70285,1250,3285,8285,02-06-2025,14:00:00,22:00:00
70286,1252,3286,8286,19-05-2025,08:00:00,16:00:00
70287,1257,3287,8287,20-05-2025,08:00:00,16:00:00
70288,1255,3288,8288,21-05-2025,14:00:00,22:00:00
70289,1262,3289,8289,22-05-2025,08:00:00,16:00:00
70290,1267,3290,8290,23-05-2025,08:00:00,16:00:00
70291,1266,3291,8291,24-05-2025,14:00:00,22:00:00
70292,1265,3292,8292,25-05-2025,08:00:00,16:00:00
70293,1272,3293,8293,26-05-2025,08:00:00,16:00:00
70294,1270,3294,8294,27-05-2025,14:00:00,22:00:00
70295,1278,3295,8295,28-05-2025,08:00:00,16:00:00
70296,1277,3296,8296,29-05-2025,14:00:00,22:00:00
70297,1275,3297,8297,30-05-2025,08:00:00,16:00:00
70298,1300,3298,8298,31-05-2025,08:00:00,16:00:00
70299,1297,3299,8299,01-06-2025,14:00:00,22:00:00
70300,1285,3300,8300,02-06-2025,08:00:00,16:00:00
70301,1302,3301,8301,19-05-2025,08:00:00,16:00:00
70302,1323,3302,8302,20-05-2025,08:00:00,16:00:00
70303,1320,3303,8303,21-05-2025,14:00:00,22:00:00
70304,1337,3304,8304,22-05-2025,08:00:00,16:00:00
70305,1362,3305,8305,23-05-2025,08:00:00,16:00:00
70306,1354,3306,8306,24-05-2025,14:00:00,22:00:00
70307,1363,3307,8307,25-05-2025,08:00:00,16:00:00
70308,1396,3308,8308,26-05-2025,08:00:00,16:00:00
70309,1394,3309,8309,27-05-2025,14:00:00,22:00:00
70310,1399,3310,8310,28-05-2025,08:00:00,16:00:00
70311,1003,3311,8311,29-05-2025,06:00:00,14:00:00
70312,1006,3312,8312,30-05-2025,14:00:00,22:00:00
70313,1009,3313,8313,31-05-2025,08:00:00,16:00:00
70314,1013,3314,8314,01-06-2025,08:00:00,16:00:00
70315,1018,3315,8315,02-06-2025,08:00:00,16:00:00
70316,1016,3316,8316,19-05-2025,14:00:00,22:00:00
70317,1023,3317,8317,20-05-2025,08:00:00,16:00:00
70318,1020,3318,8318,21-05-2025,14:00:00,22:00:00
70319,1021,3319,8319,22-05-2025,08:00:00,16:00:00
70320,1025,3320,8320,23-05-2025,08:00:00,16:00:00
70321,1026,3321,8321,24-05-2025,14:00:00,22:00:00
70322,1063,3322,8322,25-05-2025,07:00:00,15:00:00
70323,1053,3323,8323,26-05-2025,15:00:00,23:00:00
70324,1031,3324,8324,27-05-2025,19:00:00,03:00:00
70325,1042,3325,8325,28-05-2025,23:00:00,07:00:00
70326,1051,3326,8326,29-05-2025,07:00:00,15:00:00
70327,1043,3327,8327,30-05-2025,15:00:00,23:00:00
70328,1040,3328,8328,31-05-2025,19:00:00,03:00:00
70329,1036,3329,8329,01-06-2025,23:00:00,07:00:00
70330,1081,3330,8330,02-06-2025,08:00:00,16:00:00
70331,1085,3331,8331,19-05-2025,14:00:00,22:00:00
70332,1080,3332,8332,20-05-2025,08:00:00,16:00:00
70333,1096,3333,8333,21-05-2025,08:00:00,16:00:00
70334,1095,3334,8334,22-05-2025,14:00:00,22:00:00
70335,1093,3335,8335,23-05-2025,08:00:00,16:00:00
70336,1100,3336,8336,24-05-2025,08:00:00,16:00:00
70337,1102,3337,8337,25-05-2025,14:00:00,22:00:00
70338,1101,3338,8338,26-05-2025,08:00:00,16:00:00
70339,1110,3339,8339,27-05-2025,08:00:00,16:00:00
70340,1106,3340,8340,28-05-2025,14:00:00,22:00:00
70341,1108,3341,8341,29-05-2025,08:00:00,16:00:00
70342,1115,3342,8342,30-05-2025,08:00:00,16:00:00
70343,1111,3343,8343,31-05-2025,14:00:00,22:00:00
70344,1116,3344,8344,01-06-2025,08:00:00,16:00:00
70345,1118,3345,8345,02-06-2025,08:00:00,16:00:00
70346,1117,3346,8346,19-05-2025,14:00:00,22:00:00
70347,1121,3347,8347,20-05-2025,08:00:00,16:00:00
70348,1123,3348,8348,21-05-2025,08:00:00,16:00:00
70349,1125,3349,8349,22-05-2025,14:00:00,22:00:00
70350,1126,3350,8350,23-05-2025,08:00:00,16:00:00
70351,1128,3351,8351,24-05-2025,14:00:00,22:00:00
70352,1130,3352,8352,25-05-2025,08:00:00,16:00:00
70353,1140,3353,8353,26-05-2025,08:00:00,16:00:00
70354,1141,3354,8354,27-05-2025,14:00:00,22:00:00
70355,1143,3355,8355,28-05-2025,08:00:00,16:00:00
70356,1147,3356,8356,29-05-2025,06:00:00,14:00:00
70357,1175,3357,8357,30-05-2025,14:00:00,22:00:00
70358,1163,3358,8358,31-05-2025,22:00:00,06:00:00
70359,1155,3359,8359,01-06-2025,06:00:00,14:00:00
70360,1185,3360,8360,02-06-2025,08:00:00,16:00:00
70361,1188,3361,8361,19-05-2025,14:00:00,22:00:00
70362,1192,3362,8362,20-05-2025,08:00:00,16:00:00
70363,1193,3363,8363,21-05-2025,14:00:00,22:00:00
70364,1195,3364,8364,22-05-2025,08:00:00,16:00:00
70365,1199,3365,8365,23-05-2025,08:00:00,16:00:00
70366,1197,3366,8366,24-05-2025,14:00:00,22:00:00
70367,1198,3367,8367,25-05-2025,08:00:00,16:00:00
70368,1234,3368,8368,26-05-2025,08:00:00,16:00:00
70369,1222,3369,8369,27-05-2025,14:00:00,22:00:00
70370,1245,3370,8370,28-05-2025,08:00:00,16:00:00
70371,1252,3371,8371,29-05-2025,08:00:00,16:00:00
70372,1249,3372,8372,30-05-2025,14:00:00,22:00:00
70373,1262,3373,8373,31-05-2025,08:00:00,16:00:00
70374,1256,3374,8374,01-06-2025,14:00:00,22:00:00
70375,1261,3375,8375,02-06-2025,08:00:00,16:00:00
70376,1269,3376,8376,19-05-2025,08:00:00,16:00:00
70377,1264,3377,8377,20-05-2025,14:00:00,22:00:00
70378,1267,3378,8378,21-05-2025,08:00:00,16:00:00
70379,1271,3379,8379,22-05-2025,08:00:00,16:00:00
70380,1272,3380,8380,23-05-2025,14:00:00,22:00:00
70381,1274,3381,8381,24-05-2025,08:00:00,16:00:00
70382,1277,3382,8382,25-05-2025,08:00:00,16:00:00
70383,1279,3383,8383,26-05-2025,14:00:00,22:00:00
70384,1276,3384,8384,27-05-2025,08:00:00,16:00:00
70385,1297,3385,8385,28-05-2025,08:00:00,16:00:00
70386,1289,3386,8386,29-05-2025,14:00:00,22:00:00
70387,1287,3387,8387,30-05-2025,08:00:00,16:00:00
70388,1302,3388,8388,31-05-2025,08:00:00,16:00:00
70389,1304,3389,8389,01-06-2025,14:00:00,22:00:00
70390,1301,3390,8390,02-06-2025,08:00:00,16:00:00
70391,1316,3391,8391,19-05-2025,08:00:00,16:00:00
70392,1332,3392,8392,20-05-2025,14:00:00,22:00:00
70393,1336,3393,8393,21-05-2025,08:00:00,16:00:00
70394,1386,3394,8394,22-05-2025,08:00:00,16:00:00
70395,1364,3395,8395,23-05-2025,14:00:00,22:00:00
70396,1349,3396,8396,24-05-2025,08:00:00,16:00:00
70397,1400,3397,8397,25-05-2025,08:00:00,16:00:00
70398,1398,3398,8398,26-05-2025,14:00:00,22:00:00
70399,1393,3399,8399,27-05-2025,08:00:00,16:00:00
70400,1006,3400,8400,28-05-2025,06:00:00,14:00:00
70401,1007,3401,8401,29-05-2025,14:00:00,22:00:00
70402,1004,3402,8402,30-05-2025,18:00:00,02:00:00
70403,1012,3403,8403,31-05-2025,08:00:00,16:00:00
70404,1010,3404,8404,01-06-2025,12:00:00,20:00:00
70405,1015,3405,8405,02-06-2025,08:00:00,16:00:00
70406,1014,3406,8406,19-05-2025,14:00:00,22:00:00
70407,1019,3407,8407,20-05-2025,08:00:00,16:00:00
70408,1017,3408,8408,21-05-2025,14:00:00,22:00:00
70409,1022,3409,8409,22-05-2025,08:00:00,16:00:00
70410,1021,3410,8410,23-05-2025,14:00:00,22:00:00
70411,1026,3411,8411,24-05-2025,08:00:00,16:00:00
70412,1024,3412,8412,25-05-2025,14:00:00,22:00:00
70413,1067,3413,8413,26-05-2025,07:00:00,15:00:00
70414,1069,3414,8414,27-05-2025,15:00:00,23:00:00
70415,1037,3415,8415,28-05-2025,19:00:00,03:00:00
70416,1039,3416,8416,29-05-2025,23:00:00,07:00:00
70417,1075,3417,8417,30-05-2025,07:00:00,15:00:00
70418,1049,3418,8418,31-05-2025,15:00:00,23:00:00
70419,1034,3419,8419,01-06-2025,19:00:00,03:00:00
70420,1054,3420,8420,02-06-2025,23:00:00,07:00:00
70421,1084,3421,8421,19-05-2025,08:00:00,16:00:00
70422,1079,3422,8422,20-05-2025,14:00:00,22:00:00
70423,1089,3423,8423,21-05-2025,08:00:00,16:00:00
70424,1097,3424,8424,22-05-2025,08:00:00,16:00:00
70425,1094,3425,8425,23-05-2025,14:00:00,22:00:00
70426,1096,3426,8426,24-05-2025,08:00:00,16:00:00
70427,1104,3427,8427,25-05-2025,08:00:00,16:00:00
70428,1101,3428,8428,26-05-2025,14:00:00,22:00:00
70429,1105,3429,8429,27-05-2025,08:00:00,16:00:00
70430,1109,3430,8430,28-05-2025,08:00:00,16:00:00
70431,1107,3431,8431,29-05-2025,14:00:00,22:00:00
70432,1116,3432,8432,30-05-2025,08:00:00,16:00:00
70433,1114,3433,8433,31-05-2025,14:00:00,22:00:00
70434,1112,3434,8434,01-06-2025,08:00:00,16:00:00
70435,1120,3435,8435,02-06-2025,08:00:00,16:00:00
70436,1119,3436,8436,19-05-2025,14:00:00,22:00:00
70437,1124,3437,8437,20-05-2025,08:00:00,16:00:00
70438,1122,3438,8438,21-05-2025,14:00:00,22:00:00
70439,1127,3439,8439,22-05-2025,08:00:00,16:00:00
70440,1126,3440,8440,23-05-2025,14:00:00,22:00:00
70441,1129,3441,8441,24-05-2025,08:00:00,16:00:00
70442,1134,3442,8442,25-05-2025,08:00:00,16:00:00
70443,1146,3443,8443,26-05-2025,14:00:00,22:00:00
70444,1144,3444,8444,27-05-2025,08:00:00,16:00:00
70445,1148,3445,8445,28-05-2025,06:00:00,14:00:00
70446,1160,3446,8446,29-05-2025,14:00:00,22:00:00
70447,1152,3447,8447,30-05-2025,22:00:00,06:00:00
70448,1156,3448,8448,31-05-2025,06:00:00,14:00:00
